sample,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_xylanophilum_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_fissicatena_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39;g__RF39,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005,d__Bacteria;p__Firmicutes;c__Bacilli;__;__;__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-008,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group;g__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066575,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__uncultured,day,hs,cage,sex
F1D1,6,3,0,353,0,0,48,22,0,0,59,165,41,6,6,2830,65,57,60,1,Pre-DSS,F1,Female
F1D11,0,313,26,0,0,116,0,27,6844,0,65,0,18,0,81,3025,32,0,2,11,DSS,F1,Female
F1D12,11,270,352,0,0,165,0,86,2934,0,176,0,26,0,3,4530,94,0,35,12,DSS,F1,Female
F1D13,30,83,349,0,0,205,0,180,9302,0,147,11,0,0,58,2755,91,30,19,13,Colitis,F1,Female
F1D14,131,154,181,0,0,207,0,82,3027,0,104,40,24,0,42,2331,81,0,36,14,Colitis,F1,Female
F1D15,173,367,449,0,0,217,0,10,2953,0,287,0,46,0,2,4722,54,0,13,15,Colitis,F1,Female
F1D18,66,30,891,0,0,142,0,0,5820,0,90,322,0,118,90,950,15,0,2,18,Colitis,F1,Female
F1D22,375,147,1527,0,0,194,0,15,4935,14,49,267,30,57,11,1317,8,20,1,22,Recovery,F1,Female
F1D26,38,122,1085,0,0,189,0,5,2318,7,59,1229,28,109,66,1429,17,54,14,26,Recovery,F1,Female
F1D29,21,174,478,0,0,73,0,0,585,0,0,117,0,6,18,1801,26,0,39,29,Recovery,F1,Female
F1D5,8,0,0,150,19,0,53,184,0,0,247,130,87,0,0,4150,61,25,33,5,Pre-DSS,F1,Female
F1D7,11,0,0,112,39,17,25,92,1691,0,187,77,38,2,2,3361,78,32,70,7,Pre-DSS,F1,Female
F1D8,22,0,0,100,8,18,31,18,10543,0,112,737,23,216,8,1921,12,0,15,8,DSS,F1,Female
F2D1,43,0,0,179,83,52,28,95,0,0,199,0,69,0,4,3171,68,51,114,1,Pre-DSS,F2,Female
F2D11,9,77,163,0,0,163,0,48,0,0,125,122,23,0,0,2603,27,1,25,11,DSS,F2,Female
F2D12,62,80,761,0,0,263,0,570,0,0,375,0,32,0,0,6403,137,0,31,12,DSS,F2,Female
F2D13,58,19,138,0,0,69,0,51,0,0,147,34,28,0,2,1885,42,32,49,13,Colitis,F2,Female
F2D14,17,6,34,0,0,14,0,0,0,0,9,2,0,0,5,197,0,0,0,14,Colitis,F2,Female
F2D15,269,105,1708,0,0,281,0,41,0,49,145,135,73,0,2,3354,84,0,32,15,Colitis,F2,Female
F2D18,180,2780,171,0,0,324,0,0,0,59,0,188,0,11,33,1934,0,0,0,18,Colitis,F2,Female
F2D22,112,107,108,29,0,18,0,0,0,50,12,1014,0,31,194,66,0,8,33,22,Recovery,F2,Female
F2D26,46,0,100,6,0,9,0,28,0,20,60,335,0,16,3,784,0,0,16,26,Recovery,F2,Female
F2D29,205,8,1076,0,0,54,0,78,15,46,62,144,0,0,13,2860,15,0,32,29,Recovery,F2,Female
F2D5,0,9,0,29,186,0,21,26,0,0,126,53,45,0,0,797,1,65,44,5,Pre-DSS,F2,Female
F2D7,49,0,0,35,138,22,0,163,0,0,199,598,57,0,0,1558,59,35,56,7,Pre-DSS,F2,Female
F2D8,32,0,0,19,40,0,15,199,0,0,229,159,45,2,3,3971,100,0,62,8,DSS,F2,Female
M1D1,43,0,0,114,92,49,93,149,0,0,241,684,65,12,0,1506,69,10,46,1,Pre-DSS,M1,Male
M1D11,0,233,0,0,0,143,0,4,0,6,164,0,0,0,0,1591,34,0,16,11,DSS,M1,Male
M1D12,63,236,101,0,0,300,0,21,113,23,144,0,6,0,19,3312,55,0,37,12,DSS,M1,Male
M1D13,116,81,74,0,0,232,0,4,466,20,74,0,1,0,25,1705,62,0,10,13,Colitis,M1,Male
M1D14,508,300,99,0,0,136,0,9,133,0,45,0,22,0,11,6111,89,0,7,14,Colitis,M1,Male
M1D15,2610,370,492,0,0,164,0,2,479,48,0,44,18,0,20,5604,155,0,64,15,Colitis,M1,Male
M1D18,861,3190,475,0,0,53,0,0,254,0,0,909,0,7,0,4991,17,0,0,18,Colitis,M1,Male
M1D22,461,557,289,6,48,109,0,2,789,54,0,487,0,57,17,1539,43,0,28,22,Recovery,M1,Male
M1D26,1031,143,79,0,34,20,0,0,13176,53,0,1128,0,290,49,261,9,0,10,26,Recovery,M1,Male
M1D29,2035,349,167,0,22,50,0,0,4890,37,0,695,0,101,24,1502,13,0,7,29,Recovery,M1,Male
M1D5,17,0,0,15,38,33,31,115,0,0,143,314,27,2,0,2387,140,0,32,5,Pre-DSS,M1,Male
M1D7,30,7,0,99,22,0,34,172,0,0,163,24,19,0,8,1580,113,0,33,7,Pre-DSS,M1,Male
M1D8,45,0,0,143,47,33,34,577,0,0,215,136,36,9,26,1513,213,7,39,8,DSS,M1,Male
M2D1,7,10,0,124,65,33,65,230,0,0,354,26,50,0,4,1478,55,48,49,1,Pre-DSS,M2,Male
M2D11,20,272,0,0,0,487,0,128,0,0,290,0,30,0,10,1962,129,0,24,11,DSS,M2,Male
M2D12,50,181,34,0,0,328,0,44,0,0,156,0,0,0,14,2815,104,0,6,12,DSS,M2,Male
M2D13,120,196,51,0,0,313,0,11,0,0,149,0,29,3,26,2247,49,0,18,13,Colitis,M2,Male
M2D14,599,246,418,0,0,370,0,32,0,6,79,9,0,0,0,2992,58,4,1,14,Colitis,M2,Male
M2D15,1158,909,300,0,0,145,0,0,41,34,24,52,0,0,11,6758,14,0,4,15,Colitis,M2,Male
M2D18,2891,183,42,0,0,47,0,0,1758,42,0,2588,0,139,30,1485,0,0,14,18,Colitis,M2,Male
M2D22,2256,132,423,0,35,27,0,0,6975,98,9,235,0,61,22,786,13,35,16,22,Recovery,M2,Male
M2D26,255,87,90,0,156,21,0,6,2405,27,10,131,0,22,2,927,1,0,32,26,Recovery,M2,Male
M2D29,201,17,0,0,151,0,0,2,2290,40,9,248,0,48,23,161,34,22,2,29,Recovery,M2,Male
M2D5,52,0,0,37,54,26,45,363,0,0,214,187,37,12,19,2575,63,0,41,5,Pre-DSS,M2,Male
M2D7,37,0,0,0,37,23,24,177,0,0,177,147,21,8,0,1487,44,0,43,7,Pre-DSS,M2,Male
M2D8,48,0,0,34,63,44,69,190,0,0,150,689,36,39,1,1731,62,0,38,8,DSS,M2,Male
